"Commissioner Parent Name","total_waiting"
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,127224
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,9120
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,2812
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,836
"",114
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,76
