"RTT Part Description","number_of_records","total_patients"
Incomplete Pathways,51580,7156212
New RTT Periods - All Patients,27895,1728233
Completed Pathways For Non-Admitted Patients,24641,1211716
Incomplete Pathways with DTA,23225,1189814
Completed Pathways For Admitted Patients,13763,290744
